lon,lat,code_postal,ville,departement,nom_structure,adresse,url_lieu,source,url_illustration,code_access,code_label,code_accomp
6.378162,47.480117,25680,CUSE-ET-ADRISANS,25,MSAP Objectif Emploi Rougemont,Zone d'activités du Pré Rond,,,,,,
6.782497,47.437388,25700,MATHAY,25,Ecole  primaire,Ecole  primaire ,,,,,,
6.836789,47.462367,25700,VALENTIGNEY,25,Maison des Jeunes et de la Culture,Maison des Jeunes et de la Culture ,,,,,,
6.658207,47.521728,25750,ARCEY,25,MSAP Arcey (Bureau de Poste),29 rue de la 5ème Division Blindée,,,,,,
6.345019,47.147983,25800,VALDAHON,25,MFS Maison des Services de Valdahon,5 Place du Général de Gaulle,,,,,,
6.0113158,47.3276463,25870,DEVECEY,25,Agence Crédit Agricole Devecey,4A route de Bonnay,https://www.ca-franchecomte.fr,Réseau Crédit Agricole Franche-Comté,,,,
6.012,47.3272,25870,BONNAY,25,EPN Intercommunal de la dame blanche,,,,,,,
5.559639,46.674247,39000,LONS LE SAUNIER,39,ANPE Lons le Saunier,19  Place de Verdun,http://anpe.fr/,,,,,
5.571603,46.677955,39000,LONS LE SAUNIER,39,espace Cyber-base emploi Lons le Saunier,1000  rue des Gentianes,http://lons-le-saunier.cyber-base.org/,,,,,
5.554027,46.676099,39000,LONS LE SAUNIER,39,Info Jeunesse Jura,17 Place Perraud,http://ijlonslesaunier.jeunes-fc.com/,,,,,
5.553933,46.668589,39000,LONS LE SAUNIER,39,Lédanova,2 rue de Montaigu,https://www.facebook.com/ledonova/,,,,,
5.571603,46.677955,39000,LONS LE SAUNIER,39,Mission Locale Sud Jura,1000 rue des Gentianes,missionlocalesudjura.org,,,,,
5.571681,46.677747,39003,LONS LE SAUNIER,39,Association Maison commune,1025 rue des gentianes,,,,,,
5.498227,47.084708,39100,DOLE,39,Le V  Fourmilière des Savoir-Faire,31 rue Julien Feuvrier,http://www.projet-v.fr,,,,,
5.466198,47.071416,39100,DOLE,39,Mission Locale Dole-Revermont,24 place nationale,missionlocale-dolerevermont.fr,,,,,
5.498227,47.084708,39100,DOLE,39,Savoirs et formation,31  rue Julien Feuvrier,,,,,,
5.861152,46.95238,39110,SALINS-LES-BAINS,39,MFS Salins-les-Bains,Zone Artisanale Les Mélincols,,,,,,
5.407953,46.968329,39120,CHAUSSIN,39,MSAP de la Plaine Jurassienne,3 place du collège,,,,,,
5.451784,46.802739,39140,COMMENAILLES,39,FabLab Atelier Made in iKi,5  place du général Michelin,http://madeiniki.org,,,,,
5.453529,46.744635,39140,BLETTERANS,39,MSAP Bletterans,3 Place Orion,,,,,,
5.461255,46.748906,39140,BLETTERANS,39,Point Information Jeunesse Bletterans,12 place de la gare,http://www.jeunes-fc.com/,,,,,
5.342488,46.43766,39160,SAINT AMOUR,39,EPN Médiathèque du Pays de St-Amour,4 Avenue Lucien Febvre,,,,,,
5.803057,46.424006,39170,RAVILLOLES,39,Atelier des Savoir-Faire,1 grande rue,http://www.atelierdessavoirfaire.fr/,,,,,
5.438472,46.573164,39190,BEAUFORT,39,MFS Porte du Jura,10 Grande Rue,,,,,,
5.861259,46.401015,39200,SAINT CLAUDE,39,Bureau Information Jeunesse St Claude,19 rue du marché,http://www.jeunes-fc.com/,,,,,
5.868137,46.383615,39200,SAINT CLAUDE,39,Cyber Espace du Haut-Jura,rue Tomachon,http://www.cbe-haut-jura.com/,,,,,
6.136538,46.537883,39220,BOIS D'AMONT,39,MSAP Bois-d'Amont,194 rue des Couenneaux,,,,,,
5.566614,46.827911,39230,SELLIERES,39,MSAP Sellières,Rue Jean Moulin,,,,,,
5.566873,46.392864,39240,ARINTHOD,39,MFS Petite Montagne,3  place de la Charité,,,,,,
5.611445,46.521711,39270,ORGELET,39,La Fabrik,4 rue de l'église,http://lafabrik-jura.fr,,,,,
5.611852,46.520481,39270,ORGELET,39,MSAP de la Région d'Orgelet,4 chemin du quart,,,,,,
5.456,47.145657,39290,BIARNE,39,FabLab-Net-IKi,3 rue de l'église,http://www.fablab-net-iki.org,,,,,
5.909479,46.748612,39300,CHAMPAGNOLE,39,FabLab Champagnole,2 rue de l'égalité,http://www.fablab-champagnole.com/,,,,,
